"","variablename","result","sub_score"
"1","Percent Cobble",9,0
"2","Percent Fines (silts/clay/muck)",46,0
"3","Percent Gravel - coarse",1,0
"4","Percent Gravel - fine",3,0
"5","Percent Concrete/Asphalt",0,0
"6","Percent Sand",38,3
"7","Percent Boulders - small",1,0
"8","Mixed",98,15
