"","variablename","result","sub_score"
"1","Percent Cobble",18,0
"2","Percent Fines (silts/clay/muck)",7,0
"3","Percent Gravel - coarse",27,7
"4","Percent Gravel - fine",6,1
"5","Percent Concrete/Asphalt",0,0
"6","Percent Sand",13,1
"7","Percent Boulders - small",5,1
"8","Mixed",76,15
