"","variablename","result","sub_score"
"1","Percent Cobble",10,0
"2","Percent Fines (silts/clay/muck)",0,0
"3","Percent Gravel - coarse",5,1
"4","Percent Gravel - fine",1,0
"5","Percent Concrete/Asphalt",0,0
"6","Percent Sand",68,5
"7","Percent Boulders - small",5,1
"8","Mixed",89,15
