"","variablename","result","sub_score"
"1","Percent Cobble",0,0
"2","Percent Fines (silts/clay/muck)",5,0
"3","Percent Gravel - coarse",0,1
"4","Percent Gravel - fine",0,1
"5","Percent Concrete/Asphalt",95,0
"6","Percent Sand",0,1
"7","Percent Boulders - small",0,1
