"","variablename","result","sub_score"
"1","Percent Cobble",10,0
"2","Percent Fines (silts/clay/muck)",10,0
"3","Percent Gravel - coarse",13,1
"4","Percent Gravel - fine",26,7
"5","Percent Concrete/Asphalt",0,0
"6","Percent Sand",26,3
"7","Percent Boulders - small",11,1
"8","Mixed",96,15
