"","variablename","result","sub_score"
"1","Percent Cobble",0,0
"2","Percent Fines (silts/clay/muck)",12,0
"3","Percent Gravel - coarse",0,0
"4","Percent Gravel - fine",0,0
"5","Percent Concrete/Asphalt",84,0
"6","Percent Sand",4,0
"7","Percent Boulders - small",0,0
"8","Mixed",16,0
