"","variablename","result","sub_score"
"1","Percent Cobble",0,0
"2","Percent Fines (silts/clay/muck)",0,0
"3","Percent Gravel - coarse",2,0
"4","Percent Gravel - fine",1,0
"5","Percent Concrete/Asphalt",92,0
"6","Percent Sand",5,1
"7","Percent Boulders - small",0,0
"8","Mixed",8,0
