"","variablename","result","sub_score"
"1","Percent Cobble",11,0
"2","Percent Fines (silts/clay/muck)",20,0
"3","Percent Gravel - coarse",7,1
"4","Percent Gravel - fine",9,1
"5","Percent Concrete/Asphalt",0,0
"6","Percent Sand",10,1
"7","Percent Boulders - small",2,0
"8","Mixed",59,10
