"","variablename","result","sub_score"
"1","Percent Cobble",16,0
"2","Percent Fines (silts/clay/muck)",0,0
"3","Percent Gravel - coarse",46,8
"4","Percent Gravel - fine",15,1
"5","Percent Concrete/Asphalt",0,0
"6","Percent Sand",12,1
"7","Percent Boulders - small",5,1
"8","Mixed",94,15
