"","variablename","result","sub_score"
"1","Percent Cobble",15,0
"2","Percent Fines (silts/clay/muck)",0,0
"3","Percent Gravel - coarse",36,7
"4","Percent Gravel - fine",37,7
"5","Percent Concrete/Asphalt",0,0
"6","Percent Sand",6,1
"7","Percent Boulders - small",5,1
"8","Mixed",99,15
