"","variablename","result","sub_score"
"1","Percent Cobble",18,0
"2","Percent Fines (silts/clay/muck)",0,0
"3","Percent Gravel - coarse",46,8
"4","Percent Gravel - fine",13,1
"5","Percent Concrete/Asphalt",1,0
"6","Percent Sand",11,1
"7","Percent Boulders - small",6,1
"8","Mixed",94,15
