"","variablename","result","sub_score"
"1","Percent Cobble",10,0
"2","Percent Fines (silts/clay/muck)",5,0
"3","Percent Gravel - coarse",23,7
"4","Percent Gravel - fine",60,8
"5","Percent Concrete/Asphalt",0,0
"6","Percent Sand",0,0
"7","Percent Boulders - small",0,0
"8","Mixed",98,15
