"","variablename","result","sub_score"
"1","Percent Cobble",10,0
"2","Percent Fines (silts/clay/muck)",42,0
"3","Percent Gravel - coarse",3,0
"4","Percent Gravel - fine",1,0
"5","Percent Concrete/Asphalt",0,0
"6","Percent Sand",14,1
"7","Percent Boulders - small",4,0
"8","Mixed",74,15
