"","variablename","result","sub_score"
"1","Percent Cobble",16,0
"2","Percent Fines (silts/clay/muck)",3,0
"3","Percent Gravel - coarse",17,1
"4","Percent Gravel - fine",11,1
"5","Percent Concrete/Asphalt",1,0
"6","Percent Sand",11,1
"7","Percent Boulders - small",19,1
"8","Mixed",77,15
