"","variablename","result","sub_score"
"1","Percent Cobble",9,0
"2","Percent Fines (silts/clay/muck)",3,0
"3","Percent Gravel - coarse",20,1
"4","Percent Gravel - fine",26,7
"5","Percent Concrete/Asphalt",0,0
"6","Percent Sand",18,1
"7","Percent Boulders - small",7,1
"8","Mixed",83,15
