"","variablename","result","sub_score"
"1","Percent Cobble",11,0
"2","Percent Fines (silts/clay/muck)",31,0
"3","Percent Gravel - coarse",4,0
"4","Percent Gravel - fine",2,0
"5","Percent Concrete/Asphalt",0,0
"6","Percent Sand",25,3
"7","Percent Boulders - small",2,0
"8","Mixed",75,15
