"","variablename","result","sub_score"
"1","Percent Cobble",17,0
"2","Percent Fines (silts/clay/muck)",22,0
"3","Percent Gravel - coarse",9,1
"4","Percent Gravel - fine",3,0
"5","Percent Concrete/Asphalt",0,0
"6","Percent Sand",41,4
"7","Percent Boulders - small",2,0
"8","Mixed",94,15
