"","variablename","result","sub_score"
"1","Percent Cobble",18,0
"2","Percent Fines (silts/clay/muck)",0,0
"3","Percent Gravel - coarse",24,7
"4","Percent Gravel - fine",12,1
"5","Percent Concrete/Asphalt",0,0
"6","Percent Sand",40,3
"7","Percent Boulders - small",5,1
"8","Mixed",99,15
