"","month_year","water_year","month","season","position","Probability_Threshold","n_days"
"1",2010-01-01,2010,1,"non_critical","MC","Low",28
"2",2011-01-01,2011,1,"non_critical","MC","Low",29
"3",2012-01-01,2012,1,"non_critical","MC","Low",25
"4",2013-01-01,2013,1,"non_critical","MC","Low",30
"5",2014-01-01,2014,1,"non_critical","MC","Low",26
"6",2015-01-01,2015,1,"non_critical","MC","Low",26
"7",2016-01-01,2016,1,"non_critical","MC","Low",15
"8",2010-02-01,2010,2,"non_critical","MC","Low",21
"9",2011-02-01,2011,2,"non_critical","MC","Low",28
"10",2012-02-01,2012,2,"non_critical","MC","Low",25
"11",2013-02-01,2013,2,"non_critical","MC","Low",24
"12",2014-02-01,2014,2,"non_critical","MC","Low",4
"13",2015-02-01,2015,2,"non_critical","MC","Low",27
"14",2016-02-01,2016,2,"non_critical","MC","Low",16
"15",2010-03-01,2010,3,"critical","MC","Low",18
"16",2011-03-01,2011,3,"critical","MC","Low",26
"17",2012-03-01,2012,3,"critical","MC","Low",29
"18",2013-03-01,2013,3,"critical","MC","Low",23
"19",2014-03-01,2014,3,"critical","MC","Low",27
"20",2015-03-01,2015,3,"critical","MC","Low",17
"21",2016-03-01,2016,3,"critical","MC","Low",22
"22",2010-04-01,2010,4,"critical","MC","Low",30
"23",2011-04-01,2011,4,"critical","MC","Low",25
"24",2012-04-01,2012,4,"critical","MC","Low",29
"25",2013-04-01,2013,4,"critical","MC","Low",26
"26",2014-04-01,2014,4,"critical","MC","Low",28
"27",2015-04-01,2015,4,"critical","MC","Low",27
"28",2016-04-01,2016,4,"critical","MC","Low",12
"29",2010-05-01,2010,5,"critical","MC","Low",28
"30",2011-05-01,2011,5,"critical","MC","Low",31
"31",2012-05-01,2012,5,"critical","MC","Low",24
"32",2013-05-01,2013,5,"critical","MC","Low",1
"33",2014-05-01,2014,5,"critical","MC","Low",21
"34",2015-05-01,2015,5,"critical","MC","Low",30
"35",2016-05-01,2016,5,"critical","MC","Low",30
"36",2010-06-01,2010,6,"critical","MC","Low",30
"37",2011-06-01,2011,6,"critical","MC","Low",30
"38",2012-06-01,2012,6,"critical","MC","Low",30
"39",2013-06-01,2013,6,"critical","MC","Low",26
"40",2014-06-01,2014,6,"critical","MC","Low",12
"41",2015-06-01,2015,6,"critical","MC","Low",30
"42",2016-06-01,2016,6,"critical","MC","Low",30
"43",2010-07-01,2010,7,"critical","MC","Low",31
"44",2011-07-01,2011,7,"critical","MC","Low",31
"45",2012-07-01,2012,7,"critical","MC","Low",22
"46",2013-07-01,2013,7,"critical","MC","Low",24
"47",2014-07-01,2014,7,"critical","MC","Low",28
"48",2015-07-01,2015,7,"critical","MC","Low",22
"49",2016-07-01,2016,7,"critical","MC","Low",31
"50",2010-08-01,2010,8,"non_critical","MC","Low",31
"51",2011-08-01,2011,8,"non_critical","MC","Low",31
"52",2012-08-01,2012,8,"non_critical","MC","Low",21
"53",2013-08-01,2013,8,"non_critical","MC","Low",31
"54",2014-08-01,2014,8,"non_critical","MC","Low",31
"55",2015-08-01,2015,8,"non_critical","MC","Low",14
"56",2016-08-01,2016,8,"non_critical","MC","Low",31
"57",2010-09-01,2010,9,"non_critical","MC","Low",30
"58",2011-09-01,2011,9,"non_critical","MC","Low",30
"59",2012-09-01,2012,9,"non_critical","MC","Low",10
"60",2013-09-01,2013,9,"non_critical","MC","Low",30
"61",2014-09-01,2014,9,"non_critical","MC","Low",29
"62",2015-09-01,2015,9,"non_critical","MC","Low",30
"63",2016-09-01,2016,9,"non_critical","MC","Low",30
"64",2010-10-01,2010,10,"non_critical","MC","Low",23
"65",2011-10-01,2011,10,"non_critical","MC","Low",28
"66",2012-10-01,2012,10,"non_critical","MC","Low",15
"67",2013-10-01,2013,10,"non_critical","MC","Low",1
"68",2014-10-01,2014,10,"non_critical","MC","Low",21
"69",2015-10-01,2015,10,"non_critical","MC","Low",27
"70",2016-10-01,2016,10,"non_critical","MC","Low",27
"71",2010-11-01,2010,11,"non_critical","MC","Low",26
"72",2011-11-01,2011,11,"non_critical","MC","Low",25
"73",2012-11-01,2012,11,"non_critical","MC","Low",23
"74",2013-11-01,2013,11,"non_critical","MC","Low",3
"75",2014-11-01,2014,11,"non_critical","MC","Low",28
"76",2015-11-01,2015,11,"non_critical","MC","Low",14
"77",2016-11-01,2016,11,"non_critical","MC","Low",24
"78",2010-12-01,2010,12,"non_critical","MC","Low",18
"79",2011-12-01,2011,12,"non_critical","MC","Low",27
"80",2012-12-01,2012,12,"non_critical","MC","Low",18
"81",2013-12-01,2013,12,"non_critical","MC","Low",7
"82",2014-12-01,2014,12,"non_critical","MC","Low",22
"83",2015-12-01,2015,12,"non_critical","MC","Low",13
"84",2016-12-01,2016,12,"non_critical","MC","Low",9
"85",2010-01-01,2010,1,"non_critical","MC","Medium",28
"86",2011-01-01,2011,1,"non_critical","MC","Medium",29
"87",2012-01-01,2012,1,"non_critical","MC","Medium",25
"88",2013-01-01,2013,1,"non_critical","MC","Medium",30
"89",2014-01-01,2014,1,"non_critical","MC","Medium",26
"90",2015-01-01,2015,1,"non_critical","MC","Medium",26
"91",2016-01-01,2016,1,"non_critical","MC","Medium",14
"92",2010-02-01,2010,2,"non_critical","MC","Medium",21
"93",2011-02-01,2011,2,"non_critical","MC","Medium",28
"94",2012-02-01,2012,2,"non_critical","MC","Medium",25
"95",2013-02-01,2013,2,"non_critical","MC","Medium",23
"96",2014-02-01,2014,2,"non_critical","MC","Medium",4
"97",2015-02-01,2015,2,"non_critical","MC","Medium",27
"98",2016-02-01,2016,2,"non_critical","MC","Medium",16
"99",2010-03-01,2010,3,"critical","MC","Medium",16
"100",2011-03-01,2011,3,"critical","MC","Medium",26
"101",2012-03-01,2012,3,"critical","MC","Medium",29
"102",2013-03-01,2013,3,"critical","MC","Medium",23
"103",2014-03-01,2014,3,"critical","MC","Medium",27
"104",2015-03-01,2015,3,"critical","MC","Medium",16
"105",2016-03-01,2016,3,"critical","MC","Medium",22
"106",2010-04-01,2010,4,"critical","MC","Medium",27
"107",2011-04-01,2011,4,"critical","MC","Medium",24
"108",2012-04-01,2012,4,"critical","MC","Medium",29
"109",2013-04-01,2013,4,"critical","MC","Medium",25
"110",2014-04-01,2014,4,"critical","MC","Medium",28
"111",2015-04-01,2015,4,"critical","MC","Medium",26
"112",2016-04-01,2016,4,"critical","MC","Medium",12
"113",2010-05-01,2010,5,"critical","MC","Medium",28
"114",2011-05-01,2011,5,"critical","MC","Medium",31
