"","Thresh","Position","Species","Life_Stage","Hydraulic","Node"
"1","Q >= newx1a","depth_cm_LOB","Willow","Germination","Depth","LA202"
"2","Q >= newx1a","depth_cm_MC","Willow","Germination","Depth","LA202"
"3","Q >= newx1a","depth_cm_ROB","Willow","Germination","Depth","LA202"
