"","Node","Low","Med","High","Metric","No_of_Weeks","Species","Life_Stage"
"1","F300",0,0,0,"MaxTemp",11,"SAS","Juvenile"
"2","F300",1,0,0,"MeanMaxTemp",11,"SAS","Juvenile"
"3","F300",11,11,11,"MinTemp",11,"SAS","Juvenile"
"4","F300",11,7,0,"MeanTemp",11,"SAS","Juvenile"
"5","F319",0,0,0,"MaxTemp",6,"SAS","Juvenile"
"6","F319",0,0,0,"MeanMaxTemp",6,"SAS","Juvenile"
"7","F319",6,6,5,"MinTemp",6,"SAS","Juvenile"
"8","F319",6,2,0,"MeanTemp",6,"SAS","Juvenile"
"9","F34D",0,0,0,"MaxTemp",6,"SAS","Juvenile"
"10","F34D",1,0,0,"MeanMaxTemp",6,"SAS","Juvenile"
"11","F34D",6,6,5,"MinTemp",6,"SAS","Juvenile"
"12","F34D",6,1,0,"MeanTemp",6,"SAS","Juvenile"
"13","F37B.Hard",14,12,1,"MaxTemp",15,"SAS","Juvenile"
"14","F37B.Hard",15,15,3,"MeanMaxTemp",15,"SAS","Juvenile"
"15","F37B.Hard",15,15,15,"MinTemp",15,"SAS","Juvenile"
"16","F37B.Hard",15,15,13,"MeanTemp",15,"SAS","Juvenile"
"17","F37B.Soft",15,15,2,"MaxTemp",15,"SAS","Juvenile"
"18","F37B.Soft",15,15,4,"MeanMaxTemp",15,"SAS","Juvenile"
"19","F37B.Soft",15,15,15,"MinTemp",15,"SAS","Juvenile"
"20","F37B.Soft",15,15,13,"MeanTemp",15,"SAS","Juvenile"
"21","F45B",16,9,0,"MaxTemp",19,"SAS","Juvenile"
"22","F45B",18,14,1,"MeanMaxTemp",19,"SAS","Juvenile"
"23","F45B",19,19,17,"MinTemp",19,"SAS","Juvenile"
"24","F45B",19,19,18,"MeanTemp",19,"SAS","Juvenile"
"25","F57C",0,0,0,"MaxTemp",11,"SAS","Juvenile"
"26","F57C",0,0,0,"MeanMaxTemp",11,"SAS","Juvenile"
"27","F57C",11,11,11,"MinTemp",11,"SAS","Juvenile"
"28","F57C",11,7,0,"MeanTemp",11,"SAS","Juvenile"
"29","GLEN",0,0,0,"MaxTemp",11,"SAS","Juvenile"
"30","GLEN",1,0,0,"MeanMaxTemp",11,"SAS","Juvenile"
"31","GLEN",11,11,11,"MinTemp",11,"SAS","Juvenile"
"32","GLEN",11,8,0,"MeanTemp",11,"SAS","Juvenile"
"33","LA_20_2",0,0,0,"MaxTemp",11,"SAS","Juvenile"
"34","LA_20_2",2,0,0,"MeanMaxTemp",11,"SAS","Juvenile"
"35","LA_20_2",11,3,0,"MinTemp",11,"SAS","Juvenile"
"36","LA_20_2",11,0,0,"MeanTemp",11,"SAS","Juvenile"
"37","LA11",0,0,0,"MaxTemp",11,"SAS","Juvenile"
"38","LA11",0,0,0,"MeanMaxTemp",11,"SAS","Juvenile"
"39","LA11",11,11,11,"MinTemp",11,"SAS","Juvenile"
"40","LA11",11,8,0,"MeanTemp",11,"SAS","Juvenile"
"41","LA13",0,0,0,"MaxTemp",11,"SAS","Juvenile"
"42","LA13",1,0,0,"MeanMaxTemp",11,"SAS","Juvenile"
"43","LA13",11,11,11,"MinTemp",11,"SAS","Juvenile"
"44","LA13",11,8,0,"MeanTemp",11,"SAS","Juvenile"
"45","LA14",0,0,0,"MaxTemp",11,"SAS","Juvenile"
"46","LA14",1,0,0,"MeanMaxTemp",11,"SAS","Juvenile"
"47","LA14",11,11,11,"MinTemp",11,"SAS","Juvenile"
"48","LA14",11,8,0,"MeanTemp",11,"SAS","Juvenile"
"49","LA2",0,0,0,"MaxTemp",6,"SAS","Juvenile"
"50","LA2",0,0,0,"MeanMaxTemp",6,"SAS","Juvenile"
"51","LA2",6,6,5,"MinTemp",6,"SAS","Juvenile"
"52","LA2",6,2,0,"MeanTemp",6,"SAS","Juvenile"
"53","LA20",11,0,0,"MaxTemp",11,"SAS","Juvenile"
"54","LA20",11,5,0,"MeanMaxTemp",11,"SAS","Juvenile"
"55","LA20",11,11,5,"MinTemp",11,"SAS","Juvenile"
"56","LA20",11,7,0,"MeanTemp",11,"SAS","Juvenile"
"57","LA3",0,0,0,"MaxTemp",6,"SAS","Juvenile"
"58","LA3",0,0,0,"MeanMaxTemp",6,"SAS","Juvenile"
"59","LA3",6,6,5,"MinTemp",6,"SAS","Juvenile"
"60","LA3",6,2,0,"MeanTemp",6,"SAS","Juvenile"
"61","LA8",0,0,0,"MaxTemp",6,"SAS","Juvenile"
"62","LA8",1,0,0,"MeanMaxTemp",6,"SAS","Juvenile"
"63","LA8",6,6,2,"MinTemp",6,"SAS","Juvenile"
"64","LA8",6,1,0,"MeanTemp",6,"SAS","Juvenile"
