"","Depth","Abundance","Dataset"
"1",2,0,"SMEA"
"2",8,0,"SMEA"
"3",12,13,"SMEA"
"4",18,20,"SMEA"
"5",22,21,"SMEA"
"6",28,31,"SMEA"
"7",32,55,"SMEA"
"8",38,17,"SMEA"
"9",42,31,"SMEA"
"10",48,7,"SMEA"
"11",52,12,"SMEA"
"12",58,6,"SMEA"
"13",62,38,"SMEA"
"14",68,0,"SMEA"
