"","Depth","M_Blvd","Highway_60","Riverside_Dr","all_sites","M_Blvd_ab","Highway_60_ab","Riverside_Dr_ab","all_sites_ab"
"1","0-5 ",0,0,0,0,0,0,0,0
"2","6-10",0,0,0,0,0,0,0,0
"3","11-15",0,0,22.2,2.9,0,0,4,4
"4","16-20 ",9.3,9.2,33.3,12.4,5,6,6,17
"5","21-25 ",5.6,10.8,16.7,9.5,3,7,3,13
"6","26-30 ",11.1,16.9,27.8,16.1,6,11,5,22
"7","31-35 ",66.7,12.3,0,32.1,36,8,0,44
"8","36-40 ",0,4.6,0,2.2,0,3,0,3
"9","41-45 ",0,41.5,0,19.7,0,27,0,27
"10","46-50 ",7.4,0,0,2.9,4,0,0,4
"11","51-55 ",0,0,0,0,0,0,0,0
"12","56-60 ",0,4.6,0,2.2,0,3,0,3
"13","61-65 ",0,0,0,0,0,0,0,0
"14","66-70 ",0,0,0,0,0,0,0,0
"15","abundance",54,65,18,137,29,42,3,188
