"","Low","Medium","High","Position","Species","Life_Stage","Hydraulic","Node"
"1","Q >= newx1a[1] & Q <= newx1a[2]","Q > min_limit & Q <= newx2a","Q >= newx3a[1] & Q <= newx3a[2]","depth_cm_LOB","SAS","Juvenile","Depth","GLEN"
"2","Q >= newx1a[1] & Q <= newx1a[2]","Q >= newx2a[1] & Q <= newx2a[2]","Q >= newx3a[1] & Q <= newx3a[2]","depth_cm_MC","SAS","Juvenile","Depth","GLEN"
"3","Q >= newx1a[1] & Q <= newx1a[2]","Q >= newx2a[1] & Q <= newx2a[2]","Q >= newx3a[1] & Q <= newx3a[2] | Q >= newx3a[3]","depth_cm_ROB","SAS","Juvenile","Depth","GLEN"
