"","Low","Medium","High","Position","Species","Life_Stage","Hydraulic","Node"
"1","Q <= newx3a","Q <= newx2a","Q <= newx1a","depth_cm_LOB","Willow","Seedling","Depth","LA202"
"2","Q <= newx3a[1] & Q <= newx3a[2] | Q <= newx3a[3]","Q <= newx2a","Q <= newx1a","depth_cm_MC","Willow","Seedling","Depth","LA202"
"3","Q <= newx3a","Q <= newx2a","Q <= newx1a","depth_cm_ROB","Willow","Seedling","Depth","LA202"
