"","Low","Medium","High","Position","Species","Life_Stage","Hydraulic","Node"
"1","Q <= newx1a","Q <= newx2a","Q <= newx3a","depth_cm_LOB","Willow","Seedling","Depth","F37BLow"
"2","Q <= newx1a","Q <= newx2a","Q <= newx3a","depth_cm_MC","Willow","Seedling","Depth","F37BLow"
"3","Q >= newx1a[1] & Q <= newx1a[2]","Q >= newx2a[1] & Q <= newx2a[2]","Q >= newx3a[1] & Q <= newx3a[2]","depth_cm_ROB","Willow","Seedling","Depth","F37BLow"
