"","Low","Medium","High","Position","Species","Life_Stage","Hydraulic","Node"
"1","Q >= newx1a","Q >= newx2a[1] & Q <= newx2a[2] | Q >= newx2a[3]","Q >= newx3a","vel_m_LOB","SAS","Adult","Depth","F37BLow"
"2","Q >= newx1a","Q >= newx2a[1] & Q <= newx2a[2] | Q >= newx2a[3]","Q >= newx3a[1] & Q <= newx3a[2] | Q >= newx3a[3]","vel_m_MC","SAS","Adult","Depth","F37BLow"
"3","Q >= newx1a[1] & Q <= newx1a[2] | Q >= newx1a[3]","Q >= newx2a[1] & Q <= newx2a[2] | Q >= newx2a[3]","Q >= newx3a[1] & Q <= newx3a[2] | Q >= newx3a[3]","vel_m_ROB","SAS","Adult","Depth","F37BLow"
