"","Thresh","Position","Species","Life_Stage","Hydraulic","Node"
"1","Q >= newx1a","depth_cm_LOB","Steelhead","Smolts","Depth","LA8"
"2","Q >= newx1a","depth_cm_MC","Steelhead","Smolts","Depth","LA8"
"3","Q >= newx1a","depth_cm_ROB","Steelhead","Smolts","Depth","LA8"
