"","Thresh","Position","Species","Life_Stage","Hydraulic","Node"
"1","Q >= newx1a","depth_cm_LOB","Steelhead","Migration_Prolonged","Depth","LA202Jan"
"2","Q >= newx1a","depth_cm_MC","Steelhead","Migration_Prolonged","Depth","LA202Jan"
"3","Q >= newx1a","depth_cm_ROB","Steelhead","Migration_Prolonged","Depth","LA202Jan"
