"","Depth","M_Blvd","Highway_60","Riverside_Dr","all_sites","M_Blvd_ab","Highway_60_ab","all_sites_ab"
"1","0-5 ",0,0,0,0,0,0,0
"2","6-10",0,0,0,0,0,0,0
"3","11-15",0,0,0,0,0,0,0
"4","16-20 ",3.6,0,0,1.2,1,0,1
"5","21-25 ",0,0,0,0,0,0,0
"6","26-30 ",0,0,0,0,0,0,0
"7","31-35 ",0,5,5.4,3.5,0,1,3
"8","36-40 ",7.1,0,2.7,3.5,2,0,3
"9","41-45 ",10.7,10,10.8,10.6,3,2,9
"10","46-50 ",0,10,18.9,10.6,0,2,9
"11","51-55 ",28.6,30,0,16.5,8,6,14
"12","56-60 ",0,10,21.6,11.8,0,2,10
"13","61-65 ",0,0,0,0,0,0,0
"14","66-70 ",0,0,10.8,4.7,0,0,4
"15","71+",50,35,29.7,37.7,14,7,32
"16","abundance",28,20,37,85,8,4,72
