"","Temp","Abundance","Dataset"
"1",8.8,1,"Saiki"
"2",11.3,1,"Saiki"
"3",12.5,1,"Saiki"
"4",12.6,1,"Saiki"
"5",12.6,1,"Saiki"
"6",21.8,2,"Saiki"
"7",22.6,1,"Saiki"
"8",29.2,1,"Saiki"
