"","Depth","july..Highway.60.","august..hwy.60...mission.","total"
"1","0-5 ",0,0,0
"2","10-Jun",0,0,0
"3","15-Nov",0,0,0
"4","16-20 ",0,0,0
"5","21-25 ",0,0,0
"6","26-30 ",0,0,0
"7","31-35 ",0,10.6,6.6
"8","36-40 ",13.8,4.3,7.9
"9","41-45 ",0,8.5,5.3
"10","46-50 ",58.6,0,1.3
"11","51-55 ",6.1,2.1,23.7
"12","56-60 ",0,14.9,18.4
"13","61-65 ",0,6.4,3.9
"14","66-70 ",0,0,0
"15","71+",50,53.2,32.9
"16","abundance",29,47,76
