"","Node","Suitable","Unsuitable","Metric","Species","Life_Stage"
"1","F300",0,11,"MaxTemp","Typha","Germination"
"2","F300",5,6,"MeanMaxTemp","Typha","Germination"
"3","F300",4,7,"MinTemp","Typha","Germination"
"4","F300",11,0,"MeanTemp","Typha","Germination"
"5","F319",0,6,"MaxTemp","Typha","Germination"
"6","F319",1,5,"MeanMaxTemp","Typha","Germination"
"7","F319",4,2,"MinTemp","Typha","Germination"
"8","F319",6,0,"MeanTemp","Typha","Germination"
"9","F34D",0,6,"MaxTemp","Typha","Germination"
"10","F34D",1,5,"MeanMaxTemp","Typha","Germination"
"11","F34D",4,2,"MinTemp","Typha","Germination"
"12","F34D",6,0,"MeanTemp","Typha","Germination"
"13","F37B.Hard",15,0,"MaxTemp","Typha","Germination"
"14","F37B.Hard",15,0,"MeanMaxTemp","Typha","Germination"
"15","F37B.Hard",6,9,"MinTemp","Typha","Germination"
"16","F37B.Hard",12,3,"MeanTemp","Typha","Germination"
"17","F37B.Soft",15,0,"MaxTemp","Typha","Germination"
"18","F37B.Soft",15,0,"MeanMaxTemp","Typha","Germination"
"19","F37B.Soft",9,6,"MinTemp","Typha","Germination"
"20","F37B.Soft",13,2,"MeanTemp","Typha","Germination"
"21","F45B",17,2,"MaxTemp","Typha","Germination"
"22","F45B",19,0,"MeanMaxTemp","Typha","Germination"
"23","F45B",0,19,"MinTemp","Typha","Germination"
"24","F45B",6,13,"MeanTemp","Typha","Germination"
"25","F57C",0,11,"MaxTemp","Typha","Germination"
"26","F57C",2,9,"MeanMaxTemp","Typha","Germination"
"27","F57C",2,9,"MinTemp","Typha","Germination"
"28","F57C",11,0,"MeanTemp","Typha","Germination"
"29","GLEN",0,11,"MaxTemp","Typha","Germination"
"30","GLEN",2,9,"MeanMaxTemp","Typha","Germination"
"31","GLEN",2,9,"MinTemp","Typha","Germination"
"32","GLEN",11,0,"MeanTemp","Typha","Germination"
"33","LA_20_2",7,4,"MaxTemp","Typha","Germination"
"34","LA_20_2",10,1,"MeanMaxTemp","Typha","Germination"
"35","LA_20_2",11,0,"MinTemp","Typha","Germination"
"36","LA_20_2",11,0,"MeanTemp","Typha","Germination"
"37","LA11",0,11,"MaxTemp","Typha","Germination"
"38","LA11",2,9,"MeanMaxTemp","Typha","Germination"
"39","LA11",2,9,"MinTemp","Typha","Germination"
"40","LA11",11,0,"MeanTemp","Typha","Germination"
"41","LA13",0,11,"MaxTemp","Typha","Germination"
"42","LA13",2,9,"MeanMaxTemp","Typha","Germination"
"43","LA13",2,9,"MinTemp","Typha","Germination"
"44","LA13",11,0,"MeanTemp","Typha","Germination"
"45","LA14",0,11,"MaxTemp","Typha","Germination"
"46","LA14",3,8,"MeanMaxTemp","Typha","Germination"
"47","LA14",2,9,"MinTemp","Typha","Germination"
"48","LA14",11,0,"MeanTemp","Typha","Germination"
"49","LA2",0,6,"MaxTemp","Typha","Germination"
"50","LA2",1,5,"MeanMaxTemp","Typha","Germination"
"51","LA2",4,2,"MinTemp","Typha","Germination"
"52","LA2",6,0,"MeanTemp","Typha","Germination"
"53","LA20",11,0,"MaxTemp","Typha","Germination"
"54","LA20",11,0,"MeanMaxTemp","Typha","Germination"
"55","LA20",11,0,"MinTemp","Typha","Germination"
"56","LA20",11,0,"MeanTemp","Typha","Germination"
"57","LA3",0,6,"MaxTemp","Typha","Germination"
"58","LA3",1,5,"MeanMaxTemp","Typha","Germination"
"59","LA3",4,2,"MinTemp","Typha","Germination"
"60","LA3",6,0,"MeanTemp","Typha","Germination"
"61","LA8",0,6,"MaxTemp","Typha","Germination"
"62","LA8",1,5,"MeanMaxTemp","Typha","Germination"
"63","LA8",5,1,"MinTemp","Typha","Germination"
"64","LA8",6,0,"MeanTemp","Typha","Germination"
