"","Thresh","Position","Species","Life_Stage","Hydraulic","Node"
"1","Q >= newx1a","depth_cm_LOB","Steelhead","Migration","Depth","GLEN"
"2","Q >= newx1a","depth_cm_MC","Steelhead","Migration","Depth","GLEN"
"3","Q >= newx1a","depth_cm_ROB","Steelhead","Migration","Depth","GLEN"
