"","substrate..","july..Highway.60.","august..hwy.60...mission.","total"
"1","silt",0,0,0
"2","silt_sand",0,0,0
"3","sand",5.9,1.2,2.6
"4","sand_gravel",32.4,21,24.3
"5","gravel",5.9,65.4,47.8
"6","sand_cobble",0,0,0
"7","gravel_cobble",55.9,12.3,25.2
"8","cobble",0,0,0
"9","boulder",0,0,0
"10","abundance",34,81,115
