"","Low","Medium","High","Position","Species","Life_Stage","Hydraulic","Node"
"1","Q <= newx3a","Q < 0","Q <= newx1a","shear_pa_LOB","Willow","Seedling","Shear","LA8"
"2","Q <= newx3a","Q < 0","Q <= newx1a","shear_pa_MC","Willow","Seedling","Shear","LA8"
"3","Q <= newx3a","Q < 0","Q <= newx1a","shear_pa_ROB","Willow","Seedling","Shear","LA8"
