"","Velocity","Abundance","Dataset"
"1",0,12,"Saiki"
"2",0.02,3,"Saiki"
"3",0.03,4,"Saiki"
"4",0.04,8,"Saiki"
"5",0.05,7,"Saiki"
"6",0.06,3,"Saiki"
"7",0.07,6,"Saiki"
"8",0.08,6,"Saiki"
"9",0.09,6,"Saiki"
"10",0.11,5,"Saiki"
"11",0.12,12,"Saiki"
"12",0.13,8,"Saiki"
"13",0.14,9,"Saiki"
"14",0.15,3,"Saiki"
"15",0.16,4,"Saiki"
"16",0.17,5,"Saiki"
"17",0.18,7,"Saiki"
"18",0.19,6,"Saiki"
"19",0.21,8,"Saiki"
"20",0.22,3,"Saiki"
"21",0.23,4,"Saiki"
"22",0.24,7,"Saiki"
"23",0.25,4,"Saiki"
"24",0.26,4,"Saiki"
"25",0.27,2,"Saiki"
"26",0.28,6,"Saiki"
"27",0.29,3,"Saiki"
"28",0.31,6,"Saiki"
"29",0.32,10,"Saiki"
"30",0.33,8,"Saiki"
"31",0.34,5,"Saiki"
"32",0.35,10,"Saiki"
"33",0.36,10,"Saiki"
"34",0.37,3,"Saiki"
"35",0.38,10,"Saiki"
"36",0.39,3,"Saiki"
"37",0.4,3,"Saiki"
"38",0.41,1,"Saiki"
"39",0.42,6,"Saiki"
"40",0.43,6,"Saiki"
"41",0.44,4,"Saiki"
"42",0.45,8,"Saiki"
"43",0.46,4,"Saiki"
"44",0.47,3,"Saiki"
"45",0.48,2,"Saiki"
"46",0.49,4,"Saiki"
"47",0.51,3,"Saiki"
"48",0.52,2,"Saiki"
"49",0.53,4,"Saiki"
"50",0.54,5,"Saiki"
"51",0.55,4,"Saiki"
"52",0.56,2,"Saiki"
"53",0.57,2,"Saiki"
"54",0.58,1,"Saiki"
"55",0.59,4,"Saiki"
"56",0.6,1,"Saiki"
"57",0.62,1,"Saiki"
"58",0.63,5,"Saiki"
"59",0.64,6,"Saiki"
"60",0.65,3,"Saiki"
"61",0.66,3,"Saiki"
"62",0.67,3,"Saiki"
"63",0.68,3,"Saiki"
"64",0.69,3,"Saiki"
"65",0.71,1,"Saiki"
"66",0.73,1,"Saiki"
"67",0.74,2,"Saiki"
"68",0.75,3,"Saiki"
"69",0.8,1,"Saiki"
"70",0.9,1,"Saiki"
"71",0.91,1,"Saiki"
"72",0.94,1,"Saiki"
"73",0.95,1,"Saiki"
"74",0.96,1,"Saiki"
"75",1.02,1,"Saiki"
"76",1.06,1,"Saiki"
"77",1.08,1,"Saiki"
"78",1.16,1,"Saiki"
"79",1.18,1,"Saiki"
"80",1.2,1,"Saiki"
"81",1.24,1,"Saiki"
"82",1.73,1,"Saiki"
"83",0.24,1,"Wulff"
"84",0.82,3,"Wulff"
"85",0.42,1,"Wulff"
"86",0.32,1,"Wulff"
"87",0.47,1,"Wulff"
"88",0.59,1,"Wulff"
"89",0.55,1,"Wulff"
"90",0.27,1,"Wulff"
"91",0.65,1,"Wulff"
"92",0.38,1,"Wulff"
"93",0.31,1,"Wulff"
"94",0.5,1,"Wulff"
"95",0.5,2,"Wulff"
"96",0.5,2,"Wulff"
"97",0.5,1,"Wulff"
"98",0.65,2,"Wulff"
"99",0.35,1,"Wulff"
"100",0.19,5,"Wulff"
"101",0.52,2,"Wulff"
"102",0.35,2,"Wulff"
"103",0.35,1,"Wulff"
"104",0.52,1,"Wulff"
"105",0.55,1,"Wulff"
"106",0.97,1,"Wulff"
"107",0.37,8,"Wulff"
"108",0.55,1,"Wulff"
"109",0.44,3,"Wulff"
"110",0.6,1,"Wulff"
"111",0.6,3,"Wulff"
"112",0.18,1,"Wulff"
"113",1.31,1,"Wulff"
"114",1.31,1,"Wulff"
"115",1.11,2,"Wulff"
"116",1.11,1,"Wulff"
"117",1.41,1,"Wulff"
"118",1.13,1,"Wulff"
"119",NA,10,"Wulff"
"120",1.07,1,"Wulff"
"121",0.63,3,"Wulff"
"122",0.66,3,"Wulff"
"123",0.88,5,"Wulff"
"124",0.57,5,"Wulff"
"125",0.86,5,"Wulff"
"126",0.88,4,"Wulff"
"127",0.88,1,"Wulff"
"128",0.96,1,"Wulff"
"129",0.89,2,"Wulff"
"130",0.89,4,"Wulff"
"131",0.98,3,"Wulff"
"132",0.61,1,"Wulff"
"133",0.71,20,"Wulff"
"134",0.71,1,"Wulff"
"135",0.54,1,"Wulff"
"136",0.54,2,"Wulff"
"137",0.54,8,"Wulff"
"138",0.81,2,"Wulff"
"139",0.99,3,"Wulff"
"140",0.94,3,"Wulff"
"141",0.94,3,"Wulff"
"142",0.94,3,"Wulff"
"143",0.77,2,"Wulff"
"144",0.36,1,"Wulff"
"145",0.88,1,"Wulff"
"146",0.86,3,"Wulff"
"147",0.78,5,"Wulff"
"148",0.8,5,"Wulff"
"149",0.85,5,"Wulff"
"150",0.85,5,"Wulff"
"151",0.8,5,"Wulff"
"152",0.8,5,"Wulff"
"153",0.65,5,"Wulff"
"154",0.62,3,"Wulff"
"155",0.49,3,"Wulff"
"156",0.61,3,"Wulff"
"157",0.38,1,"Wulff"
"158",0.46,1,"Wulff"
"159",0.53,1,"Wulff"
"160",0.82,1,"Wulff"
"161",0.85,1,"Wulff"
"162",1.12,2,"Wulff"
"163",1.09,4,"Wulff"
"164",1.02,1,"Wulff"
"165",1.21,5,"Wulff"
"166",1.21,5,"Wulff"
"167",1.26,6,"Wulff"
"168",1.26,4,"Wulff"
"169",1.11,2,"Wulff"
"170",1.06,4,"Wulff"
"171",0.79,10,"Wulff"
"172",0.92,10,"Wulff"
"173",0.42,3,"Wulff"
"174",0.42,2,"Wulff"
"175",0.62,5,"Wulff"
"176",0.62,5,"Wulff"
"177",NA,10,"Wulff"
"178",NA,10,"Wulff"
"179",1.57,5,"Wulff"
"180",0.72,3,"Wulff"
"181",1.24,1,"Wulff"
"182",1.24,7,"Wulff"
"183",1.17,1,"Wulff"
"184",0.54,2,"Wulff"
"185",0.43,2,"Wulff"
"186",0.43,3,"Wulff"
"187",0.47,5,"Wulff"
"188",0.67,5,"Wulff"
"189",0.67,5,"Wulff"
"190",0.63,5,"Wulff"
"191",0.79,5,"Wulff"
"192",0.8,2,"Wulff"
"193",0.8,3,"Wulff"
"194",0.92,5,"Wulff"
"195",0.92,5,"Wulff"
"196",0.75,5,"Wulff"
"197",0.75,5,"Wulff"
"198",0.4,5,"Wulff"
"199",0.4,5,"Wulff"
"200",0.65,5,"Wulff"
"201",0.65,5,"Wulff"
"202",0.48,1,"Wulff"
"203",0.37,5,"Wulff"
"204",0.37,5,"Wulff"
"205",0.61,10,"Wulff"
"206",0.61,10,"Wulff"
"207",0.62,10,"Wulff"
"208",0.62,10,"Wulff"
"209",0.72,5,"Wulff"
"210",0.72,5,"Wulff"
"211",1.03,5,"Wulff"
"212",1.03,5,"Wulff"
"213",0.91,10,"Wulff"
"214",1.15,5,"Wulff"
"215",0.15,5,"Wulff"
"216",0.88,5,"Wulff"
"217",0.88,5,"Wulff"
"218",0.88,5,"Wulff"
"219",0.59,5,"Wulff"
"220",0.33,5,"Wulff"
"221",0.73,5,"Wulff"
"222",0.66,5,"Wulff"
"223",0.62,1,"Wulff"
"224",0.56,5,"Wulff"
"225",0.56,2,"Wulff"
"226",0.72,1,"Wulff"
"227",0.74,5,"Wulff"
"228",0.53,4,"Wulff"
"229",0.67,3,"Wulff"
"230",1.16,5,"Wulff"
"231",0.9,1,"Wulff"
"232",0.9,4,"Wulff"
"233",1.01,1,"Wulff"
"234",0.84,5,"Wulff"
"235",1.07,1,"Wulff"
"236",1.07,4,"Wulff"
"237",0.65,2,"Wulff"
"238",0.65,1,"Wulff"
"239",0.92,1,"Wulff"
"240",0.88,5,"Wulff"
"241",0.87,3,"Wulff"
"242",0.133,4,"Wulff"
"243",0.78,2,"Wulff"
"244",0.98,5,"Wulff"
"245",0.98,5,"Wulff"
"246",0.37,10,"Wulff"
"247",0.37,10,"Wulff"
"248",0.76,10,"Wulff"
"249",1.21,2,"Wulff"
"250",1.21,5,"Wulff"
"251",1.21,5,"Wulff"
"252",NA,5,"Wulff"
"253",NA,5,"Wulff"
"254",1.29,5,"Wulff"
"255",1.29,5,"Wulff"
"256",0.82,1,"Wulff"
"257",0.56,5,"Wulff"
"258",0.75,5,"Wulff"
"259",1.31,1,"Wulff"
"260",0.65,5,"Wulff"
"261",0.65,5,"Wulff"
"262",0.96,5,"Wulff"
"263",0.96,5,"Wulff"
"264",0.33,1,"Wulff"
"265",0.33,2,"Wulff"
"266",0.33,5,"Wulff"
"267",0.52,10,"Wulff"
"268",0.48,5,"Wulff"
"269",0.48,5,"Wulff"
"270",0.36,3,"Wulff"
"271",0.36,5,"Wulff"
"272",0.66,3,"Wulff"
"273",0.66,2,"Wulff"
"274",0.4,5,"Wulff"
"275",0.4,5,"Wulff"
"276",0.26,3,"Wulff"
"277",0.26,5,"Wulff"
"278",0.59,5,"Wulff"
"279",0.59,2,"Wulff"
"280",0.59,3,"Wulff"
"281",0.55,5,"Wulff"
"282",0.55,5,"Wulff"
"283",0.56,3,"Wulff"
"284",0.5,5,"Wulff"
"285",0.5,5,"Wulff"
"286",0.62,5,"Wulff"
"287",0.62,5,"Wulff"
"288",0.62,2,"Wulff"
"289",0.62,3,"Wulff"
"290",0.62,5,"Wulff"
"291",0.74,3,"Wulff"
"292",0.74,3,"Wulff"
"293",0.56,3,"Wulff"
"294",0.56,3,"Wulff"
"295",0.84,4,"Wulff"
"296",0.51,5,"Wulff"
"297",0.63,1,"Wulff"
"298",0.58,3,"Wulff"
"299",0.67,1,"Wulff"
"300",0.9,2,"Wulff"
"301",0.73,3,"Wulff"
"302",0.63,2,"Wulff"
"303",0.25,2,"Wulff"
"304",NA,1,"Wulff"
"305",0.8,1,"Wulff"
"306",0.8,1,"Wulff"
"307",0.97,1,"Wulff"
"308",NA,1,"Wulff"
"309",NA,1,"Wulff"
"310",0.89,1,"Wulff"
"311",1.16,2,"Wulff"
"312",0.71,1,"Wulff"
"313",0.34,1,"Wulff"
"314",NA,2,"Wulff"
"315",NA,2,"Wulff"
"316",0.84,1,"Wulff"
"317",0.9,1,"Wulff"
"318",1.08,1,"Wulff"
"319",1.15,1,"Wulff"
"320",0.57,1,"Wulff"
"321",0.67,1,"Wulff"
"322",0.87,1,"Wulff"
"323",0.7,1,"Wulff"
"324",NA,1,"Wulff"
"325",0.66,1,"Wulff"
"326",0.85,1,"Wulff"
"327",0.85,1,"Wulff"
"328",0.9,1,"Wulff"
"329",NA,2,"Wulff"
"330",NA,1,"Wulff"
"331",0.43,1,"Wulff"
"332",1.16,1,"Wulff"
"333",1.04,3,"Wulff"
"334",0.83,2,"Wulff"
"335",1.12,1,"Wulff"
"336",1.08,2,"Wulff"
"337",0.88,3,"Wulff"
"338",0.88,1,"Wulff"
"339",0.96,1,"Wulff"
"340",1.08,1,"Wulff"
"341",1.08,1,"Wulff"
"342",0.94,1,"Wulff"
"343",0.89,4,"Wulff"
