"","Thresh","Position","Species","Life_Stage","Hydraulic","Node"
"1","Q >= newx1a","depth_cm_MC","Steelhead","Migration","Depth","LA13"
"2",NA,"depth_cm_MC","Steelhead","Migration","Depth","LA13"
"3",NA,"depth_cm_MC","Steelhead","Migration","Depth","LA13"
