"","Water Column","Temp ©","pH ","Conductivity (μS/cm) ","TDS (g/L) ","Salinity (ppt) ","Dissolved Oxygen (mg/L) ","ORP (mV) ","Turbidity (NTU) ","SAS"
"X6.1.10","Surface","15.9","8.36","510","0.327","0.2","12.18","97","9.4","285"
"X6.2.10","Surface","18.7","7.89","580","0.327","0.3","11.95","110","9.4","23"
