"","Site","Temp","Abundance","Dataset"
"1","MWDA",21.45,1,"Saiki"
"2","MWDA",20.7,1,"Saiki"
"3","MWDB",18.19,1,"Saiki"
"4","MWDB",18.69,1,"Saiki"
"5","SGRA",19.02,1,"Saiki"
"6","SGRA",22.26,1,"Saiki"
"7","SGRA",22.09,1,"Saiki"
"8","SGRA",20.81,1,"Saiki"
"9","SGRA",20.76,1,"Saiki"
"10","SGRA",20.76,1,"Saiki"
"11","SGRA",20.62,1,"Saiki"
"12","SGRB",12.44,1,"Saiki"
"13","SGRB",8.77,1,"Saiki"
"14","SGRB",23.13,1,"Saiki"
"15","SGRB",22.54,1,"Saiki"
