"","LOB","MC","ROB"
"Low_Prob_1",24.5054531097412,24.5054531097412,24.5054531097412
"Low_Prob_2",40888.7421875,40888.7421875,40888.7421875
"Low_Prob_3",NA,NA,NA
"Low_Prob_4",NA,NA,NA
"Med_Prob_1",1050.57724650243,294.451795272792,1965.51483834124
"Med_Prob_2",3450.73985650111,1985.19950589096,6043.98924871211
"Med_Prob_3",NA,NA,NA
"Med_Prob_4",NA,NA,NA
"High_Prob_1",1367.1068558853,501.106577749469,2664.64713240633
"High_Prob_2",2903.01067001121,1595.98752058082,5285.31111885243
"High_Prob_3",NA,NA,NA
"High_Prob_4",NA,NA,NA
