"","bottom.velocity","july_Highway60","Aug_Highway60_Mission","total","july_Highway60_ab","Aug_Highway60_Mission_ab"
"1","0.00 – 0.50 ",62.1,95.7,39,18,45
"2","0.51 – 1.00 ",37.9,0,7,11,0
"3","1.01 – 1.50 ",0,4.3,1,0,2
"4","1.51 – 2.00 ",0,0,0,0,0
"5","2.01 – 2.50 ",0,0,0,0,0
"6","2.51 – 3.00 ",0,0,0,0,0
"7","abundance",29,47,36,8,22
