"","Thresh","Position","Species","Life_Stage","Hydraulic","Node"
"1","Q <= newx1a","vel_m_MC","Steelhead","Migration","Velocity","F37BHigh"
"2",NA,"vel_m_MC","Steelhead","Migration","Velocity","F37BHigh"
"3",NA,"vel_m_MC","Steelhead","Migration","Velocity","F37BHigh"
