"","Low","Medium","High","Position","Species","Life_Stage","Hydraulic","Node"
"1","Q <= newx1a","Q <= newx2a","Q <= newx3a","shear_pa_LOB","Willow","Seedling","Shear","LA202Jan"
"2","Q <= newx1a","Q <= newx2a","Q <= newx3a","shear_pa_MC","Willow","Seedling","Shear","LA202Jan"
"3","Q <= newx1a","Q <= newx2a","Q <= newx3a","shear_pa_ROB","Willow","Seedling","Shear","LA202Jan"
