"","Species","Life.Stage","Depth..ft.","LA20","LA11"
"1","Typha","Adult Patch","1 to 3","10887 - 22906","1305 - 5054"
"2","Willow","Germination",">0.2",">3.6",">24.5"
"3","Steelhead","Migration",">0.6",">182.2",">48.5"
