"","Depth","Abundance","Dataset"
"1",2,0,"SMEA"
"2",8,0,"SMEA"
"3",12,0,"SMEA"
"4",18,1,"SMEA"
"5",22,0,"SMEA"
"6",28,0,"SMEA"
"7",32,8,"SMEA"
"8",38,9,"SMEA"
"9",42,13,"SMEA"
"10",48,10,"SMEA"
"11",52,32,"SMEA"
"12",58,19,"SMEA"
"13",62,3,"SMEA"
"14",68,4,"SMEA"
"15",71,57,"SMEA"
