"","month_year","year","month","season","position","Annual","n_days"
"1",2011-01-01,2011,1,"Migration_season","LOB","days_per_month",31
"2",2011-01-01,2011,1,"Migration_season","MC","days_per_month",0
"3",2011-01-01,2011,1,"Migration_season","ROB","days_per_month",0
"4",2012-01-01,2012,1,"Migration_season","LOB","days_per_month",31
"5",2012-01-01,2012,1,"Migration_season","MC","days_per_month",0
"6",2012-01-01,2012,1,"Migration_season","ROB","days_per_month",0
"7",2013-01-01,2013,1,"Migration_season","LOB","days_per_month",31
"8",2013-01-01,2013,1,"Migration_season","MC","days_per_month",0
"9",2013-01-01,2013,1,"Migration_season","ROB","days_per_month",0
"10",2014-01-01,2014,1,"Migration_season","LOB","days_per_month",31
"11",2014-01-01,2014,1,"Migration_season","MC","days_per_month",0
"12",2014-01-01,2014,1,"Migration_season","ROB","days_per_month",0
"13",2015-01-01,2015,1,"Migration_season","LOB","days_per_month",31
"14",2015-01-01,2015,1,"Migration_season","MC","days_per_month",0
"15",2015-01-01,2015,1,"Migration_season","ROB","days_per_month",0
"16",2016-01-01,2016,1,"Migration_season","LOB","days_per_month",31
"17",2016-01-01,2016,1,"Migration_season","MC","days_per_month",0
"18",2016-01-01,2016,1,"Migration_season","ROB","days_per_month",0
"19",2017-01-01,2017,1,"Migration_season","LOB","days_per_month",31
"20",2017-01-01,2017,1,"Migration_season","MC","days_per_month",0
"21",2017-01-01,2017,1,"Migration_season","ROB","days_per_month",0
"22",2011-02-01,2011,2,"Migration_season","LOB","days_per_month",28
"23",2011-02-01,2011,2,"Migration_season","MC","days_per_month",1
"24",2011-02-01,2011,2,"Migration_season","ROB","days_per_month",0
"25",2012-02-01,2012,2,"Migration_season","LOB","days_per_month",29
"26",2012-02-01,2012,2,"Migration_season","MC","days_per_month",0
"27",2012-02-01,2012,2,"Migration_season","ROB","days_per_month",0
"28",2013-02-01,2013,2,"Migration_season","LOB","days_per_month",28
"29",2013-02-01,2013,2,"Migration_season","MC","days_per_month",0
"30",2013-02-01,2013,2,"Migration_season","ROB","days_per_month",0
"31",2014-02-01,2014,2,"Migration_season","LOB","days_per_month",28
"32",2014-02-01,2014,2,"Migration_season","MC","days_per_month",1
"33",2014-02-01,2014,2,"Migration_season","ROB","days_per_month",0
"34",2015-02-01,2015,2,"Migration_season","LOB","days_per_month",28
"35",2015-02-01,2015,2,"Migration_season","MC","days_per_month",0
"36",2015-02-01,2015,2,"Migration_season","ROB","days_per_month",0
"37",2016-02-01,2016,2,"Migration_season","LOB","days_per_month",29
"38",2016-02-01,2016,2,"Migration_season","MC","days_per_month",0
"39",2016-02-01,2016,2,"Migration_season","ROB","days_per_month",0
"40",2017-02-01,2017,2,"Migration_season","LOB","days_per_month",28
"41",2017-02-01,2017,2,"Migration_season","MC","days_per_month",1
"42",2017-02-01,2017,2,"Migration_season","ROB","days_per_month",0
"43",2011-03-01,2011,3,"Migration_season","LOB","days_per_month",31
"44",2011-03-01,2011,3,"Migration_season","MC","days_per_month",12
"45",2011-03-01,2011,3,"Migration_season","ROB","days_per_month",0
"46",2012-03-01,2012,3,"Migration_season","LOB","days_per_month",31
"47",2012-03-01,2012,3,"Migration_season","MC","days_per_month",0
"48",2012-03-01,2012,3,"Migration_season","ROB","days_per_month",0
"49",2013-03-01,2013,3,"Migration_season","LOB","days_per_month",31
"50",2013-03-01,2013,3,"Migration_season","MC","days_per_month",0
"51",2013-03-01,2013,3,"Migration_season","ROB","days_per_month",0
"52",2014-03-01,2014,3,"Migration_season","LOB","days_per_month",31
"53",2014-03-01,2014,3,"Migration_season","MC","days_per_month",1
"54",2014-03-01,2014,3,"Migration_season","ROB","days_per_month",0
"55",2015-03-01,2015,3,"Migration_season","LOB","days_per_month",31
"56",2015-03-01,2015,3,"Migration_season","MC","days_per_month",0
"57",2015-03-01,2015,3,"Migration_season","ROB","days_per_month",0
"58",2016-03-01,2016,3,"Migration_season","LOB","days_per_month",31
"59",2016-03-01,2016,3,"Migration_season","MC","days_per_month",0
"60",2016-03-01,2016,3,"Migration_season","ROB","days_per_month",0
"61",2017-03-01,2017,3,"Migration_season","LOB","days_per_month",31
"62",2017-03-01,2017,3,"Migration_season","MC","days_per_month",0
"63",2017-03-01,2017,3,"Migration_season","ROB","days_per_month",0
"64",2011-04-01,2011,4,"Migration_season","LOB","days_per_month",30
"65",2011-04-01,2011,4,"Migration_season","MC","days_per_month",8
"66",2011-04-01,2011,4,"Migration_season","ROB","days_per_month",0
"67",2012-04-01,2012,4,"Migration_season","LOB","days_per_month",29
"68",2012-04-01,2012,4,"Migration_season","MC","days_per_month",0
"69",2012-04-01,2012,4,"Migration_season","ROB","days_per_month",0
"70",2013-04-01,2013,4,"Migration_season","LOB","days_per_month",30
"71",2013-04-01,2013,4,"Migration_season","MC","days_per_month",0
"72",2013-04-01,2013,4,"Migration_season","ROB","days_per_month",0
"73",2014-04-01,2014,4,"Migration_season","LOB","days_per_month",30
"74",2014-04-01,2014,4,"Migration_season","MC","days_per_month",0
"75",2014-04-01,2014,4,"Migration_season","ROB","days_per_month",0
"76",2015-04-01,2015,4,"Migration_season","LOB","days_per_month",30
"77",2015-04-01,2015,4,"Migration_season","MC","days_per_month",0
"78",2015-04-01,2015,4,"Migration_season","ROB","days_per_month",0
"79",2016-04-01,2016,4,"Migration_season","LOB","days_per_month",30
"80",2016-04-01,2016,4,"Migration_season","MC","days_per_month",0
"81",2016-04-01,2016,4,"Migration_season","ROB","days_per_month",0
"82",2017-04-01,2017,4,"Migration_season","LOB","days_per_month",30
"83",2017-04-01,2017,4,"Migration_season","MC","days_per_month",0
"84",2017-04-01,2017,4,"Migration_season","ROB","days_per_month",0
"85",2011-05-01,2011,5,"Migration_season","LOB","days_per_month",31
"86",2011-05-01,2011,5,"Migration_season","MC","days_per_month",0
"87",2011-05-01,2011,5,"Migration_season","ROB","days_per_month",0
"88",2012-05-01,2012,5,"Migration_season","LOB","days_per_month",31
"89",2012-05-01,2012,5,"Migration_season","MC","days_per_month",0
"90",2012-05-01,2012,5,"Migration_season","ROB","days_per_month",0
"91",2013-05-01,2013,5,"Migration_season","LOB","days_per_month",31
"92",2013-05-01,2013,5,"Migration_season","MC","days_per_month",0
"93",2013-05-01,2013,5,"Migration_season","ROB","days_per_month",0
"94",2014-05-01,2014,5,"Migration_season","LOB","days_per_month",31
"95",2014-05-01,2014,5,"Migration_season","MC","days_per_month",0
