"","Site","Discharge","Depth","Substrate","Spec_cond","Temp","P/A","Year","Method","Substrate_cat"
"1","NN1",2.8,0.1,4.9,"804",22.5,0,"2000","electro1","Coarse_Sediment"
"2","NN2",1,0.1,7,"343",19,0,"2000","electro1","Small_Cobble"
"3","NN3",1.1,0.19,8.3,"286",20,0,"2000","electro1","Large_Cobble"
"4","GCH1",2.5,0.26,3,"984",26,1,"2000","electro1","Sand"
"5","GCO1",2.3,0.14,1.7,"943",30,0,"2000","electro1","Silt_mud"
"6","GCO2",0.8,0.05,1,"993",29.5,0,"2000","electro1","Concrete"
"7","UCH1",2,0.2,4.1,"1,250",24.5,0,"2000","electro1","Fine_Sediment"
"8","UCO1",2.4,0.04,1,"544",30.5,0,"2000","electro1","Concrete"
"9","WN1",25.2,0.33,3.1,"810",23.5,0,"2000","electro1","Sand"
"10","WN2",4.8,0.2,4.1,"872",28,0,"2000","electro1","Fine_Sediment"
"11","WN3",67,0.12,3,"927",31.5,1,"2000","electro1","Sand"
"12","WN4",190,0.64,5.9,"965",23.5,0,"2000","electro1","Very_Coarse_Sediment"
"13","WCH1",24.1,0.43,4.4,"841",24,0,"2000","electro1","Fine_Sediment"
"14","WCH2",56.9,0.21,4.4,"807",28,1,"2000","electro1","Fine_Sediment"
"15","WCO1",13.2,0.05,1,"670",31,0,"2000","electro1","Concrete"
"16","WCO2",36.2,0.15,1.1,"709",29,0,"2000","electro1","Concrete"
"17","WCO3",31,0.1,1,"730",27,0,"2000","electro1","Concrete"
