"","Node","Suitable","Unsuitable","Metric","Species","Life_Stage"
"1","F300",0,11,"MaxTemp","Steelhead","Migration"
"2","F300",0,11,"MeanMaxTemp","Steelhead","Migration"
"3","F300",0,11,"MinTemp","Steelhead","Migration"
"4","F300",0,11,"MeanTemp","Steelhead","Migration"
"5","F319",0,6,"MaxTemp","Steelhead","Migration"
"6","F319",0,6,"MeanMaxTemp","Steelhead","Migration"
"7","F319",0,6,"MinTemp","Steelhead","Migration"
"8","F319",0,6,"MeanTemp","Steelhead","Migration"
"9","F34D",0,6,"MaxTemp","Steelhead","Migration"
"10","F34D",0,6,"MeanMaxTemp","Steelhead","Migration"
"11","F34D",0,6,"MinTemp","Steelhead","Migration"
"12","F34D",0,6,"MeanTemp","Steelhead","Migration"
"13","F37B.Hard",0,15,"MaxTemp","Steelhead","Migration"
"14","F37B.Hard",0,15,"MeanMaxTemp","Steelhead","Migration"
"15","F37B.Hard",0,15,"MinTemp","Steelhead","Migration"
"16","F37B.Hard",0,15,"MeanTemp","Steelhead","Migration"
"17","F37B.Soft",0,15,"MaxTemp","Steelhead","Migration"
"18","F37B.Soft",0,15,"MeanMaxTemp","Steelhead","Migration"
"19","F37B.Soft",0,15,"MinTemp","Steelhead","Migration"
"20","F37B.Soft",0,15,"MeanTemp","Steelhead","Migration"
"21","F45B",0,19,"MaxTemp","Steelhead","Migration"
"22","F45B",0,19,"MeanMaxTemp","Steelhead","Migration"
"23","F45B",0,19,"MinTemp","Steelhead","Migration"
"24","F45B",0,19,"MeanTemp","Steelhead","Migration"
"25","F57C",0,11,"MaxTemp","Steelhead","Migration"
"26","F57C",0,11,"MeanMaxTemp","Steelhead","Migration"
"27","F57C",0,11,"MinTemp","Steelhead","Migration"
"28","F57C",0,11,"MeanTemp","Steelhead","Migration"
"29","GLEN",0,11,"MaxTemp","Steelhead","Migration"
"30","GLEN",0,11,"MeanMaxTemp","Steelhead","Migration"
"31","GLEN",0,11,"MinTemp","Steelhead","Migration"
"32","GLEN",0,11,"MeanTemp","Steelhead","Migration"
"33","LA_20_2",0,11,"MaxTemp","Steelhead","Migration"
"34","LA_20_2",0,11,"MeanMaxTemp","Steelhead","Migration"
"35","LA_20_2",0,11,"MinTemp","Steelhead","Migration"
"36","LA_20_2",0,11,"MeanTemp","Steelhead","Migration"
"37","LA11",0,11,"MaxTemp","Steelhead","Migration"
"38","LA11",0,11,"MeanMaxTemp","Steelhead","Migration"
"39","LA11",0,11,"MinTemp","Steelhead","Migration"
"40","LA11",0,11,"MeanTemp","Steelhead","Migration"
"41","LA13",0,11,"MaxTemp","Steelhead","Migration"
"42","LA13",0,11,"MeanMaxTemp","Steelhead","Migration"
"43","LA13",0,11,"MinTemp","Steelhead","Migration"
"44","LA13",0,11,"MeanTemp","Steelhead","Migration"
"45","LA14",0,11,"MaxTemp","Steelhead","Migration"
"46","LA14",0,11,"MeanMaxTemp","Steelhead","Migration"
"47","LA14",0,11,"MinTemp","Steelhead","Migration"
"48","LA14",0,11,"MeanTemp","Steelhead","Migration"
"49","LA2",0,6,"MaxTemp","Steelhead","Migration"
"50","LA2",0,6,"MeanMaxTemp","Steelhead","Migration"
"51","LA2",0,6,"MinTemp","Steelhead","Migration"
"52","LA2",0,6,"MeanTemp","Steelhead","Migration"
"53","LA20",0,11,"MaxTemp","Steelhead","Migration"
"54","LA20",0,11,"MeanMaxTemp","Steelhead","Migration"
"55","LA20",0,11,"MinTemp","Steelhead","Migration"
"56","LA20",0,11,"MeanTemp","Steelhead","Migration"
"57","LA3",0,6,"MaxTemp","Steelhead","Migration"
"58","LA3",0,6,"MeanMaxTemp","Steelhead","Migration"
"59","LA3",0,6,"MinTemp","Steelhead","Migration"
"60","LA3",0,6,"MeanTemp","Steelhead","Migration"
"61","LA8",0,6,"MaxTemp","Steelhead","Migration"
"62","LA8",0,6,"MeanMaxTemp","Steelhead","Migration"
"63","LA8",0,6,"MinTemp","Steelhead","Migration"
"64","LA8",0,6,"MeanTemp","Steelhead","Migration"
