"","month_year","water_year","month","season","position","Annual","n_days"
"1",2010-01-01,2010,1,"critical","LOB","days_per_month",26
"2",2010-01-01,2010,1,"critical","MC","days_per_month",0
"3",2010-01-01,2010,1,"critical","ROB","days_per_month",26
"4",2011-01-01,2011,1,"critical","LOB","days_per_month",29
"5",2011-01-01,2011,1,"critical","MC","days_per_month",0
"6",2011-01-01,2011,1,"critical","ROB","days_per_month",29
"7",2012-01-01,2012,1,"critical","LOB","days_per_month",24
"8",2012-01-01,2012,1,"critical","MC","days_per_month",0
"9",2012-01-01,2012,1,"critical","ROB","days_per_month",24
"10",2013-01-01,2013,1,"critical","LOB","days_per_month",30
"11",2013-01-01,2013,1,"critical","MC","days_per_month",0
"12",2013-01-01,2013,1,"critical","ROB","days_per_month",30
"13",2014-01-01,2014,1,"critical","LOB","days_per_month",26
"14",2014-01-01,2014,1,"critical","MC","days_per_month",0
"15",2014-01-01,2014,1,"critical","ROB","days_per_month",26
"16",2015-01-01,2015,1,"critical","LOB","days_per_month",23
"17",2015-01-01,2015,1,"critical","MC","days_per_month",0
"18",2015-01-01,2015,1,"critical","ROB","days_per_month",23
"19",2016-01-01,2016,1,"critical","LOB","days_per_month",18
"20",2016-01-01,2016,1,"critical","MC","days_per_month",0
"21",2016-01-01,2016,1,"critical","ROB","days_per_month",18
"22",2010-02-01,2010,2,"critical","LOB","days_per_month",18
"23",2010-02-01,2010,2,"critical","MC","days_per_month",0
"24",2010-02-01,2010,2,"critical","ROB","days_per_month",18
"25",2011-02-01,2011,2,"critical","LOB","days_per_month",26
"26",2011-02-01,2011,2,"critical","MC","days_per_month",0
"27",2011-02-01,2011,2,"critical","ROB","days_per_month",26
"28",2012-02-01,2012,2,"critical","LOB","days_per_month",24
"29",2012-02-01,2012,2,"critical","MC","days_per_month",0
"30",2012-02-01,2012,2,"critical","ROB","days_per_month",24
"31",2013-02-01,2013,2,"critical","LOB","days_per_month",22
"32",2013-02-01,2013,2,"critical","MC","days_per_month",0
"33",2013-02-01,2013,2,"critical","ROB","days_per_month",22
"34",2014-02-01,2014,2,"critical","LOB","days_per_month",23
"35",2014-02-01,2014,2,"critical","MC","days_per_month",0
"36",2014-02-01,2014,2,"critical","ROB","days_per_month",23
"37",2015-02-01,2015,2,"critical","LOB","days_per_month",27
"38",2015-02-01,2015,2,"critical","MC","days_per_month",0
"39",2015-02-01,2015,2,"critical","ROB","days_per_month",27
"40",2016-02-01,2016,2,"critical","LOB","days_per_month",10
"41",2016-02-01,2016,2,"critical","MC","days_per_month",0
"42",2016-02-01,2016,2,"critical","ROB","days_per_month",10
"43",2010-03-01,2010,3,"critical","LOB","days_per_month",15
"44",2010-03-01,2010,3,"critical","MC","days_per_month",0
"45",2010-03-01,2010,3,"critical","ROB","days_per_month",15
"46",2011-03-01,2011,3,"critical","LOB","days_per_month",26
"47",2011-03-01,2011,3,"critical","MC","days_per_month",0
"48",2011-03-01,2011,3,"critical","ROB","days_per_month",26
"49",2012-03-01,2012,3,"critical","LOB","days_per_month",28
"50",2012-03-01,2012,3,"critical","MC","days_per_month",0
"51",2012-03-01,2012,3,"critical","ROB","days_per_month",28
"52",2013-03-01,2013,3,"critical","LOB","days_per_month",28
"53",2013-03-01,2013,3,"critical","MC","days_per_month",0
"54",2013-03-01,2013,3,"critical","ROB","days_per_month",28
"55",2014-03-01,2014,3,"critical","LOB","days_per_month",28
"56",2014-03-01,2014,3,"critical","MC","days_per_month",0
"57",2014-03-01,2014,3,"critical","ROB","days_per_month",28
"58",2015-03-01,2015,3,"critical","LOB","days_per_month",24
"59",2015-03-01,2015,3,"critical","MC","days_per_month",0
"60",2015-03-01,2015,3,"critical","ROB","days_per_month",24
"61",2016-03-01,2016,3,"critical","LOB","days_per_month",9
"62",2016-03-01,2016,3,"critical","MC","days_per_month",0
"63",2016-03-01,2016,3,"critical","ROB","days_per_month",9
"64",2010-04-01,2010,4,"critical","LOB","days_per_month",17
"65",2010-04-01,2010,4,"critical","MC","days_per_month",0
