"","substrate..","july_Highway60","Aug_Highway60_Mission","total","july_Highway60_ab","Aug_Highway60_Mission_ab"
"1","silt",0,0,0,0,0
"2","silt_sand",0,0,0,0,0
"3","sand",0,6.4,0,0,3
"4","sand_gravel",27.6,87.2,7,8,41
"5","gravel",0,0,25,0,0
"6","sand_cobble",0,0,0,0,0
"7","gravel_cobble",72.4,6.4,15,21,3
"8","cobble",0,0,0,0,0
"9","boulder",0,0,0,0,0
"10","abundance",29,47,36,8,22
