"","Thresh","Position","Species","Life_Stage","Hydraulic","Node"
"1","Q >= newx1a","depth_cm_LOB","Steelhead","Migration_Prolonged","Depth","LA3"
"2","Q >= newx1a","depth_cm_MC","Steelhead","Migration_Prolonged","Depth","LA3"
"3","Q >= newx1a","depth_cm_ROB","Steelhead","Migration_Prolonged","Depth","LA3"
