"","Node","Suitable","Unsuitable","Metric","Species","Life_Stage"
"1","F300",10,1,"MaxTemp","SAS","Fry"
"2","F300",10,1,"MeanMaxTemp","SAS","Fry"
"3","F300",10,1,"MinTemp","SAS","Fry"
"4","F300",10,1,"MeanTemp","SAS","Fry"
"5","F319",6,0,"MaxTemp","SAS","Fry"
"6","F319",6,0,"MeanMaxTemp","SAS","Fry"
"7","F319",6,0,"MinTemp","SAS","Fry"
"8","F319",6,0,"MeanTemp","SAS","Fry"
"9","F34D",5,1,"MaxTemp","SAS","Fry"
"10","F34D",5,1,"MeanMaxTemp","SAS","Fry"
"11","F34D",5,1,"MinTemp","SAS","Fry"
"12","F34D",5,1,"MeanTemp","SAS","Fry"
"13","F37B.Hard",0,15,"MaxTemp","SAS","Fry"
"14","F37B.Hard",0,15,"MeanMaxTemp","SAS","Fry"
"15","F37B.Hard",0,15,"MinTemp","SAS","Fry"
"16","F37B.Hard",0,15,"MeanTemp","SAS","Fry"
"17","F37B.Soft",0,15,"MaxTemp","SAS","Fry"
"18","F37B.Soft",0,15,"MeanMaxTemp","SAS","Fry"
"19","F37B.Soft",0,15,"MinTemp","SAS","Fry"
"20","F37B.Soft",0,15,"MeanTemp","SAS","Fry"
"21","F45B",0,19,"MaxTemp","SAS","Fry"
"22","F45B",0,19,"MeanMaxTemp","SAS","Fry"
"23","F45B",0,19,"MinTemp","SAS","Fry"
"24","F45B",0,19,"MeanTemp","SAS","Fry"
"25","F57C",8,3,"MaxTemp","SAS","Fry"
"26","F57C",8,3,"MeanMaxTemp","SAS","Fry"
"27","F57C",8,3,"MinTemp","SAS","Fry"
"28","F57C",8,3,"MeanTemp","SAS","Fry"
"29","GLEN",8,3,"MaxTemp","SAS","Fry"
"30","GLEN",8,3,"MeanMaxTemp","SAS","Fry"
"31","GLEN",8,3,"MinTemp","SAS","Fry"
"32","GLEN",8,3,"MeanTemp","SAS","Fry"
"33","LA_20_2",11,0,"MaxTemp","SAS","Fry"
"34","LA_20_2",11,0,"MeanMaxTemp","SAS","Fry"
"35","LA_20_2",11,0,"MinTemp","SAS","Fry"
"36","LA_20_2",11,0,"MeanTemp","SAS","Fry"
"37","LA11",8,3,"MaxTemp","SAS","Fry"
"38","LA11",8,3,"MeanMaxTemp","SAS","Fry"
"39","LA11",8,3,"MinTemp","SAS","Fry"
"40","LA11",8,3,"MeanTemp","SAS","Fry"
"41","LA13",8,3,"MaxTemp","SAS","Fry"
"42","LA13",8,3,"MeanMaxTemp","SAS","Fry"
"43","LA13",8,3,"MinTemp","SAS","Fry"
"44","LA13",8,3,"MeanTemp","SAS","Fry"
"45","LA14",8,3,"MaxTemp","SAS","Fry"
"46","LA14",8,3,"MeanMaxTemp","SAS","Fry"
"47","LA14",8,3,"MinTemp","SAS","Fry"
"48","LA14",8,3,"MeanTemp","SAS","Fry"
"49","LA2",6,0,"MaxTemp","SAS","Fry"
"50","LA2",6,0,"MeanMaxTemp","SAS","Fry"
"51","LA2",6,0,"MinTemp","SAS","Fry"
"52","LA2",6,0,"MeanTemp","SAS","Fry"
"53","LA20",6,5,"MaxTemp","SAS","Fry"
"54","LA20",6,5,"MeanMaxTemp","SAS","Fry"
"55","LA20",6,5,"MinTemp","SAS","Fry"
"56","LA20",6,5,"MeanTemp","SAS","Fry"
"57","LA3",6,0,"MaxTemp","SAS","Fry"
"58","LA3",6,0,"MeanMaxTemp","SAS","Fry"
"59","LA3",6,0,"MinTemp","SAS","Fry"
"60","LA3",6,0,"MeanTemp","SAS","Fry"
"61","LA8",5,1,"MaxTemp","SAS","Fry"
"62","LA8",5,1,"MeanMaxTemp","SAS","Fry"
"63","LA8",5,1,"MinTemp","SAS","Fry"
"64","LA8",5,1,"MeanTemp","SAS","Fry"
