"","Node","Low","Med","High","Metric","No_of_Weeks","Species","Life_Stage"
"1","F300",0,0,0,"MaxTemp",11,"SAS","Adult"
"2","F300",5,0,0,"MeanMaxTemp",11,"SAS","Adult"
"3","F300",11,11,11,"MinTemp",11,"SAS","Adult"
"4","F300",11,10,1,"MeanTemp",11,"SAS","Adult"
"5","F319",0,0,0,"MaxTemp",6,"SAS","Adult"
"6","F319",1,0,0,"MeanMaxTemp",6,"SAS","Adult"
"7","F319",6,6,5,"MinTemp",6,"SAS","Adult"
"8","F319",6,5,0,"MeanTemp",6,"SAS","Adult"
"9","F34D",0,0,0,"MaxTemp",6,"SAS","Adult"
"10","F34D",1,0,0,"MeanMaxTemp",6,"SAS","Adult"
"11","F34D",6,6,6,"MinTemp",6,"SAS","Adult"
"12","F34D",6,4,1,"MeanTemp",6,"SAS","Adult"
"13","F37B.Hard",15,14,8,"MaxTemp",15,"SAS","Adult"
"14","F37B.Hard",15,15,15,"MeanMaxTemp",15,"SAS","Adult"
"15","F37B.Hard",15,15,15,"MinTemp",15,"SAS","Adult"
"16","F37B.Hard",15,15,15,"MeanTemp",15,"SAS","Adult"
"17","F37B.Soft",15,15,11,"MaxTemp",15,"SAS","Adult"
"18","F37B.Soft",15,15,14,"MeanMaxTemp",15,"SAS","Adult"
"19","F37B.Soft",15,15,15,"MinTemp",15,"SAS","Adult"
"20","F37B.Soft",15,15,15,"MeanTemp",15,"SAS","Adult"
"21","F45B",17,16,3,"MaxTemp",19,"SAS","Adult"
"22","F45B",19,17,7,"MeanMaxTemp",19,"SAS","Adult"
"23","F45B",19,17,9,"MinTemp",19,"SAS","Adult"
"24","F45B",19,19,19,"MeanTemp",19,"SAS","Adult"
"25","F57C",0,0,0,"MaxTemp",11,"SAS","Adult"
"26","F57C",1,0,0,"MeanMaxTemp",11,"SAS","Adult"
"27","F57C",11,11,11,"MinTemp",11,"SAS","Adult"
"28","F57C",11,10,3,"MeanTemp",11,"SAS","Adult"
"29","GLEN",0,0,0,"MaxTemp",11,"SAS","Adult"
"30","GLEN",2,0,0,"MeanMaxTemp",11,"SAS","Adult"
"31","GLEN",11,11,11,"MinTemp",11,"SAS","Adult"
"32","GLEN",11,10,4,"MeanTemp",11,"SAS","Adult"
"33","LA_20_2",6,0,0,"MaxTemp",11,"SAS","Adult"
"34","LA_20_2",9,0,0,"MeanMaxTemp",11,"SAS","Adult"
"35","LA_20_2",11,11,2,"MinTemp",11,"SAS","Adult"
"36","LA_20_2",11,2,0,"MeanTemp",11,"SAS","Adult"
"37","LA11",0,0,0,"MaxTemp",11,"SAS","Adult"
"38","LA11",2,0,0,"MeanMaxTemp",11,"SAS","Adult"
"39","LA11",11,11,11,"MinTemp",11,"SAS","Adult"
"40","LA11",11,10,4,"MeanTemp",11,"SAS","Adult"
"41","LA13",0,0,0,"MaxTemp",11,"SAS","Adult"
"42","LA13",2,0,0,"MeanMaxTemp",11,"SAS","Adult"
"43","LA13",11,11,11,"MinTemp",11,"SAS","Adult"
"44","LA13",11,10,4,"MeanTemp",11,"SAS","Adult"
"45","LA14",0,0,0,"MaxTemp",11,"SAS","Adult"
"46","LA14",2,0,0,"MeanMaxTemp",11,"SAS","Adult"
"47","LA14",11,11,11,"MinTemp",11,"SAS","Adult"
"48","LA14",11,10,5,"MeanTemp",11,"SAS","Adult"
"49","LA2",0,0,0,"MaxTemp",6,"SAS","Adult"
"50","LA2",1,0,0,"MeanMaxTemp",6,"SAS","Adult"
"51","LA2",6,6,5,"MinTemp",6,"SAS","Adult"
"52","LA2",6,5,0,"MeanTemp",6,"SAS","Adult"
"53","LA20",11,8,0,"MaxTemp",11,"SAS","Adult"
"54","LA20",11,9,2,"MeanMaxTemp",11,"SAS","Adult"
"55","LA20",11,11,9,"MinTemp",11,"SAS","Adult"
"56","LA20",11,10,5,"MeanTemp",11,"SAS","Adult"
"57","LA3",0,0,0,"MaxTemp",6,"SAS","Adult"
"58","LA3",1,0,0,"MeanMaxTemp",6,"SAS","Adult"
"59","LA3",6,6,6,"MinTemp",6,"SAS","Adult"
"60","LA3",6,5,0,"MeanTemp",6,"SAS","Adult"
"61","LA8",0,0,0,"MaxTemp",6,"SAS","Adult"
"62","LA8",1,0,0,"MeanMaxTemp",6,"SAS","Adult"
"63","LA8",6,6,6,"MinTemp",6,"SAS","Adult"
"64","LA8",6,4,1,"MeanTemp",6,"SAS","Adult"
