"","LOB","MC","ROB","Species","Life_Stage","Hydraulic","Node"
"1",NA,99.9993227271297,NA,"SAS","Adult","Velocity","F34D"
"2",NA,547.123764791099,NA,"SAS","Adult","Velocity","F34D"
"3",NA,NA,NA,"SAS","Adult","Velocity","F34D"
"4",NA,NA,NA,"SAS","Adult","Velocity","F34D"
"5",NA,100.001528156202,NA,"SAS","Adult","Velocity","F34D"
"6",NA,401.990456730304,NA,"SAS","Adult","Velocity","F34D"
"7",NA,NA,NA,"SAS","Adult","Velocity","F34D"
"8",NA,NA,NA,"SAS","Adult","Velocity","F34D"
"9",NA,100.003733585274,NA,"SAS","Adult","Velocity","F34D"
"10",NA,301.307905489425,NA,"SAS","Adult","Velocity","F34D"
"11",NA,NA,NA,"SAS","Adult","Velocity","F34D"
"12",NA,NA,NA,"SAS","Adult","Velocity","F34D"
