"","Low","Medium","High","Position","Species","Life_Stage","Hydraulic","Node"
"1","Q >= newx1a","Q < 0","Q < 0","shear_pa_LOB","Willow","Seedling","Shear","11101250"
"2","Q >= newx1a","Q >= newx2a","Q < 0","shear_pa_MC","Willow","Seedling","Shear","11101250"
"3","Q >= newx1a","Q < 0","Q < 0","shear_pa_ROB","Willow","Seedling","Shear","11101250"
