"","Depth","M_Blvd","Highway_60","Riverside_Dr","all_sites"
"1","0-5 ",0,0,0,0
"2","10-Jun",0,0,0,0
"3","15-Nov",0,0,0,0
"4","16-20 ",3.6,0,0,1.2
"5","21-25 ",0,0,0,0
"6","26-30 ",0,0,0,0
"7","31-35 ",0,5,5.4,3.5
"8","36-40 ",7.1,0,2.7,3.5
"9","41-45 ",10.7,10,10.8,10.6
"10","46-50 ",0,10,18.9,10.6
"11","51-55 ",28.6,30,0,16.5
"12","56-60 ",0,10,21.6,11.8
"13","61-65 ",0,0,0,0
"14","66-70 ",0,0,10.8,4.7
"15","71+",50,35,29.7,37.7
"16","abundance",28,20,37,85
