"","Thresh","Position","Species","Life_Stage","Hydraulic","Node"
"1","Q >= min_limit & Q <= newx2a","vel_m_MC","Steelhead","Migration","Velocity","F45B"
"2",NA,"vel_m_MC","Steelhead","Migration","Velocity","F45B"
"3",NA,"vel_m_MC","Steelhead","Migration","Velocity","F45B"
