"","LOB","MC","ROB","Species","Life_Stage","Hydraulic","Node"
"1",507.842737326658,65.5953478658119,549.723326444998,"SAS","Adult","Velocity","LA8"
"2",NA,NA,NA,"SAS","Adult","Velocity","LA8"
"3",NA,NA,NA,"SAS","Adult","Velocity","LA8"
"4",NA,NA,NA,"SAS","Adult","Velocity","LA8"
"5",377.476553075208,NA,402.957821687505,"SAS","Adult","Velocity","LA8"
"6",NA,NA,NA,"SAS","Adult","Velocity","LA8"
"7",NA,NA,NA,"SAS","Adult","Velocity","LA8"
"8",NA,NA,NA,"SAS","Adult","Velocity","LA8"
"9",73.4749872941178,NA,54.8551003798239,"SAS","Adult","Velocity","LA8"
"10",284.746913227833,NA,296.872183718481,"SAS","Adult","Velocity","LA8"
"11",NA,NA,NA,"SAS","Adult","Velocity","LA8"
"12",NA,NA,NA,"SAS","Adult","Velocity","LA8"
