"","Node","Suitable","Unsuitable","Metric","Species","Life_Stage"
"1","F300",11,0,"MaxTemp","Cladophora","Adult"
"2","F300",11,0,"MeanMaxTemp","Cladophora","Adult"
"3","F300",11,0,"MinTemp","Cladophora","Adult"
"4","F300",11,0,"MeanTemp","Cladophora","Adult"
"5","F319",6,0,"MaxTemp","Cladophora","Adult"
"6","F319",6,0,"MeanMaxTemp","Cladophora","Adult"
"7","F319",6,0,"MinTemp","Cladophora","Adult"
"8","F319",6,0,"MeanTemp","Cladophora","Adult"
"9","F34D",6,0,"MaxTemp","Cladophora","Adult"
"10","F34D",6,0,"MeanMaxTemp","Cladophora","Adult"
"11","F34D",6,0,"MinTemp","Cladophora","Adult"
"12","F34D",6,0,"MeanTemp","Cladophora","Adult"
"13","F37B.Hard",15,0,"MaxTemp","Cladophora","Adult"
"14","F37B.Hard",15,0,"MeanMaxTemp","Cladophora","Adult"
"15","F37B.Hard",15,0,"MinTemp","Cladophora","Adult"
"16","F37B.Hard",15,0,"MeanTemp","Cladophora","Adult"
"17","F37B.Soft",15,0,"MaxTemp","Cladophora","Adult"
"18","F37B.Soft",15,0,"MeanMaxTemp","Cladophora","Adult"
"19","F37B.Soft",15,0,"MinTemp","Cladophora","Adult"
"20","F37B.Soft",15,0,"MeanTemp","Cladophora","Adult"
"21","F45B",19,0,"MaxTemp","Cladophora","Adult"
"22","F45B",19,0,"MeanMaxTemp","Cladophora","Adult"
"23","F45B",19,0,"MinTemp","Cladophora","Adult"
"24","F45B",19,0,"MeanTemp","Cladophora","Adult"
"25","F57C",11,0,"MaxTemp","Cladophora","Adult"
"26","F57C",11,0,"MeanMaxTemp","Cladophora","Adult"
"27","F57C",11,0,"MinTemp","Cladophora","Adult"
"28","F57C",11,0,"MeanTemp","Cladophora","Adult"
"29","GLEN",11,0,"MaxTemp","Cladophora","Adult"
"30","GLEN",11,0,"MeanMaxTemp","Cladophora","Adult"
"31","GLEN",11,0,"MinTemp","Cladophora","Adult"
"32","GLEN",11,0,"MeanTemp","Cladophora","Adult"
"33","LA_20_2",11,0,"MaxTemp","Cladophora","Adult"
"34","LA_20_2",11,0,"MeanMaxTemp","Cladophora","Adult"
"35","LA_20_2",11,0,"MinTemp","Cladophora","Adult"
"36","LA_20_2",11,0,"MeanTemp","Cladophora","Adult"
"37","LA11",11,0,"MaxTemp","Cladophora","Adult"
"38","LA11",11,0,"MeanMaxTemp","Cladophora","Adult"
"39","LA11",11,0,"MinTemp","Cladophora","Adult"
"40","LA11",11,0,"MeanTemp","Cladophora","Adult"
"41","LA13",11,0,"MaxTemp","Cladophora","Adult"
"42","LA13",11,0,"MeanMaxTemp","Cladophora","Adult"
"43","LA13",11,0,"MinTemp","Cladophora","Adult"
"44","LA13",11,0,"MeanTemp","Cladophora","Adult"
"45","LA14",11,0,"MaxTemp","Cladophora","Adult"
"46","LA14",11,0,"MeanMaxTemp","Cladophora","Adult"
"47","LA14",11,0,"MinTemp","Cladophora","Adult"
"48","LA14",11,0,"MeanTemp","Cladophora","Adult"
"49","LA2",6,0,"MaxTemp","Cladophora","Adult"
"50","LA2",6,0,"MeanMaxTemp","Cladophora","Adult"
"51","LA2",6,0,"MinTemp","Cladophora","Adult"
"52","LA2",6,0,"MeanTemp","Cladophora","Adult"
"53","LA20",11,0,"MaxTemp","Cladophora","Adult"
"54","LA20",11,0,"MeanMaxTemp","Cladophora","Adult"
"55","LA20",11,0,"MinTemp","Cladophora","Adult"
"56","LA20",11,0,"MeanTemp","Cladophora","Adult"
"57","LA3",6,0,"MaxTemp","Cladophora","Adult"
"58","LA3",6,0,"MeanMaxTemp","Cladophora","Adult"
"59","LA3",6,0,"MinTemp","Cladophora","Adult"
"60","LA3",6,0,"MeanTemp","Cladophora","Adult"
"61","LA8",6,0,"MaxTemp","Cladophora","Adult"
"62","LA8",6,0,"MeanMaxTemp","Cladophora","Adult"
"63","LA8",6,0,"MinTemp","Cladophora","Adult"
"64","LA8",6,0,"MeanTemp","Cladophora","Adult"
