"","silt_sand_perc","Abundance_r","cobble_percent_cover"
"1",5.5501,13,65.6433
"2",9.1987,11,58.2591
"3",16.5486,10,46.5891
"4",10.5289,7,54.7681
"5",12.9506,6,38.0004
"7",38.7029,4,28.5518
"6",23.9935,3,39.0235
"18",25.7412,1,25.7412
"8",14.9785,0,9.85
"9",20.0197,0,17.9748
"10",23.0283,0,25.1307
"11",30.027,0,14.9785
"12",45.0374,0,20.0197
"13",50.0724,0,35.062
"14",57.0711,0,34.9931
"15",65.0706,0,45.0374
"16",75.0964,0,50.0724
"17",85.1099,0,40.0723
