"","LOB","MC","ROB"
"Low_Prob_1",2000.71602656059,111.941879953814,1657.43094902663
"Low_Prob_2",2131.28910373224,4433.76890674494,15446.34257783
"Low_Prob_3",16441.3755618785,NA,NA
"Low_Prob_4",NA,NA,NA
"Med_Prob_1",267.159058121412,305.517241838283,2673.51207451155
"Med_Prob_2",2000.38363887023,3247.58867455307,12223.8378148745
"Med_Prob_3",3259.73610605717,NA,NA
"Med_Prob_4",13202.3029895236,NA,NA
"High_Prob_1",543.163623867374,563.803276367013,3775.76902590087
"High_Prob_2",2000.05125117988,2412.46467980553,9840.48295120598
"High_Prob_3",4454.6900622436,NA,NA
"High_Prob_4",10780.3331645178,NA,NA
