"","Low","Medium","High","Position","Species","Life_Stage","Hydraulic","Node"
"1","Q >= min_limit & Q <= newx1a","Q >= min_limit & Q <= newx2a","Q >= min_limit & Q <= newx3a","depth_cm_LOB","Typha","Seedling","Depth","F37BLow"
"2","Q >= min_limit & Q <= newx1a","Q >= min_limit & Q <= newx2a","Q >= min_limit & Q <= newx3a","depth_cm_MC","Typha","Seedling","Depth","F37BLow"
"3","Q <= newx1a[1] & Q >= newx1a[2]","Q <= newx2a[1] & Q >= newx2a[2]","Q >= min_limit & Q <= newx3a","depth_cm_ROB","Typha","Seedling","Depth","F37BLow"
