"","substrate..","july_Highway60","Aug_Highway60_Mission","total","july_Highway60_ab","Aug_Highway60_Mission_ab"
"1","silt",0,0,0,0,0
"2","silt_sand",0,0,0,0,0
"3","sand",5.9,1.2,2,2,1
"4","sand_gravel",32.4,21,20,11,17
"5","gravel",5.9,65.4,39,2,53
"6","sand_cobble",0,0,0,0,0
"7","gravel_cobble",55.9,12.3,20,19,10
"8","cobble",0,0,0,0,0
"9","boulder",0,0,0,0,0
"10","abundance",34,81,93,12,66
